Door Name in System,New Door Name for Database,Account,Delivery
Curaleaf IL - Worth - MED,Curaleaf - Worth,Curaleaf,No
Curaleaf IL - Worth - REC,Curaleaf - Worth,Curaleaf,No
Dispensary 33 - Clark St.,Dispensary 33 - N Clark St.,Dispensary 33,No
Dispensary 33 - D33 1152 - W. Randolph - REC,Dispensary 33 - W Randolph,Dispensary 33,No
Dispensary 33 - D33 5001 - N. Clark - MED,Dispensary 33 - N Clark St.,Dispensary 33,No
Dispensary 33 - N Clark,Dispensary 33 - N Clark St.,Dispensary 33,No
Dispensary 33 - Randolph St.,Dispensary 33 - W Randolph,Dispensary 33,No
Dispensary 33 - W Randolph,Dispensary 33 - W Randolph,Dispensary 33,No
EarthMed - Addison,EarthMed - Addison,EarthMed,No
EarthMed - Rosemont,EarthMed - Rosemont,EarthMed,No
EarthMed - Rosemont ,EarthMed - Rosemont,EarthMed,No
EarthMed - Rosemont - REC,EarthMed - Rosemont,EarthMed,No
Enlightened - Cannabis for People - Mount Prospect - MED,Enlightened - Mount Prospect,Enlightened,No
Enlightened - Cannabis for People - Mount Prospect - REC,Enlightened - Mount Prospect,Enlightened,No
Enlightened - Cannabis for People - Schaumburg - REC,Enlightened - Schaumburg,Enlightened,No
Enlightened - Mount Prospect,Enlightened - Mount Prospect,Enlightened,No
Enlightened - Mount Prospect (IL),Enlightened - Mount Prospect,Enlightened,No
Enlightened - Schaumburg,Enlightened - Schaumburg,Enlightened,No
Fairview Heights - REC,Ascend - Fairview Heights,Ascend,No
GreenGate - Chicago,GreenGate - Chicago,GreenGate,No
GreenGate - Chicago - MED,GreenGate - Chicago,GreenGate,No
Hatch - Addison - MED,Hatch - Addison,Hatch,No
Hatch - Addison - REC,Hatch - Addison,Hatch,No
Hatch - Wheeling - REC,Hatch - Wheeling,Hatch,No
Hatch Dispensary - Addison,Hatch - Addison,Hatch,No
Hatch Dispensary - Wheeling,Hatch - Wheeling,Hatch,No
Herbal Remedies - Quincy - REC,Herbal Remedies - Quincy,Herbal Remedies,No
Horizon Drive - REC,Ascend - Horizon,Ascend,No
Logan Square - MED,Ascend - Chicago Logan Square,Ascend,No
Logan Square - REC,Ascend - Chicago Logan Square,Ascend,No
Mapleglen Care Center,Mapleglen Care Center,Mapleglen,No
Mapleglen Care Center - Rockford - MED,Mapleglen Care Center,Mapleglen,No
MedMen - Oak Park,MedMen - Oak Park,MedMen,No
MedMen IL - Oak Park - MED,MedMen - Oak Park,MedMen,No
MedMen IL - Oak Park - REC,MedMen - Oak Park,MedMen,No
Midway - Chicago Archer,Midway - Chicago Archer,Midway,No
Midway - Chicago Ridge,Midway - Chicago Ridge,Midway,No
Midway Chicago - REC,Ascend - Midway,Ascend,No
Mission - Calumet City,Mission - Calumet City,Mission,No
Mission - Chicago South Shore,Mission - South Chicago,Mission,No
Mission - South Chicago,Mission - South Chicago,Mission,No
