use_date,state,door,account,ext_doc_id,ext_doc_type,product_name,promo_name,unit_price,quantity,full_price,discount,dollar_vol,assigned_rep,sales_rep,packout,format,flavor,lite,sku,is_sample,is_promotion,fam_mapping
2021-01-25,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,24.0,216.0,0.0,216.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-04,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,40.0,480.0,0.0,480.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-02-19,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,19.0,171.0,0.0,171.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-03,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,12.0,60.0,720.0,0.0,720.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-18,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-03-31,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-04-16,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-04-28,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-05-18,RI,Summit,Summit,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,53.0,477.0,0.0,477.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-05-26,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-06-10,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,40.0,360.0,0.0,360.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2021-07-08,RI,Greenleaf,Greenleaf,,Historic,BOC - wholesale - 8oz - 6pk,,9.0,60.0,540.0,0.0,540.0,,Not Mapped,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
