Name,Rep,order_date,delivery_date,total,ttl_samples,adj_total,derived_unit_price,variable,value,unit_price,dollar_val
Revolutionary - Somerville,-,-,4/30/21,2853.0,$0.00 ,"$2,853.00 ",9.0,CS - wholesale,317.0,9.0,2853.0
Silver Therapeutics - Orange,Deidra,-,4/28/21,960.0,$0.00 ,$960.00 ,12.0,CS - wholesale,80.0,12.0,960.0
Garden Wonders,Jameson,-,4/18/21,2304.0,$0.00 ,"$2,304.00 ",12.0,CS - wholesale,192.0,12.0,2304.0
Fine Fettle,Brandon,-,4/16/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
Apothca,Brandon,-,4/13/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Nature's Remedy - Millbury,Jameson,-,4/12/21,1440.0,$0.00 ,"$1,440.00 ",12.0,CS - wholesale,120.0,12.0,1440.0
Nature's Remedy - Tyngsborough,Jameson,-,4/12/21,3216.0,$0.00 ,"$3,216.00 ",12.0,CS - wholesale,268.0,12.0,3216.0
Western Front,Deidra,-,4/9/21,2400.0,$0.00 ,"$2,400.00 ",12.0,CS - wholesale,200.0,12.0,2400.0
Silver Therapeutics - Orange,Deidra,-,4/8/21,480.0,$0.00 ,$480.00 ,12.0,CS - wholesale,40.0,12.0,480.0
Silver Therapeutics - Williamstown,Deidra,-,4/8/21,480.0,$0.00 ,$480.00 ,12.0,CS - wholesale,40.0,12.0,480.0
Revolutionary - Fawcett,-,-,3/31/21,1692.0,$0.00 ,"$1,692.00 ",9.0,CS - wholesale,188.0,9.0,1692.0
Revolutionary - Mass Ave,-,-,3/31/21,1323.0,$0.00 ,"$1,323.00 ",9.0,CS - wholesale,147.0,9.0,1323.0
Revolutionary - Somerville,-,-,3/31/21,1953.0,$0.00 ,"$1,953.00 ",9.0,CS - wholesale,217.0,9.0,1953.0
b\well,Jameson,-,3/30/21,4800.0,$0.00 ,"$4,800.00 ",12.0,CS - wholesale,400.0,12.0,4800.0
RISE Amherst,Brandon,-,3/29/21,1680.0,$0.00 ,"$1,680.00 ",12.0,CS - wholesale,140.0,12.0,1680.0
Western Front,Deidra,-,3/22/21,2460.0,$0.00 ,"$2,460.00 ",12.0,CS - wholesale,205.0,12.0,2460.0
