Name,Invoice,Status,delivery_date,variable,value,unit_price,dollar_val
MOCA - River North,INV-042912,Delivered,5/28/21,BOC - wholesale,12,12.0,144.0
The Herbal Care Center,INV-042913,Delivered,5/28/21,BOC - wholesale,20,12.0,240.0
Sunnyside - Schaumburg,INV-042958,Delivered,6/1/21,BOC - wholesale,184,12.0,2208.0
Rise - Quincy,INV-043880,Delivered,6/1/21,BOC - wholesale,-72,12.0,-864.0
Curaleaf - Northbrook,INV-043213,Delivered,6/2/21,BOC - wholesale,92,12.0,1104.0
Curaleaf - Skokie,INV-043214,Delivered,6/2/21,BOC - wholesale,92,12.0,1104.0
Sunnyside - River North,INV-043351,Delivered,6/3/21,BOC - wholesale,120,12.0,1440.0
Sunnyside - Naperville,INV-043352,Delivered,6/3/21,BOC - wholesale,52,12.0,624.0
Curaleaf - Worth,INV-043353,Delivered,6/3/21,BOC - wholesale,92,12.0,1104.0
Curaleaf - Mokena,INV-043354,Delivered,6/3/21,BOC - wholesale,36,12.0,432.0
Curaleaf - Westmont,INV-043355,Delivered,6/3/21,BOC - wholesale,20,12.0,240.0
Sunnyside - Elmwood Park ,INV-043460,Delivered,6/4/21,BOC - wholesale,132,12.0,1584.0
Sunnyside - Buffalo Grove,INV-043461,Delivered,6/4/21,BOC - wholesale,28,12.0,336.0
MOCA - Logan Square,INV-043615,Delivered,6/7/21,BOC - wholesale,160,12.0,1920.0
MOCA - River North,INV-043616,Delivered,6/7/21,BOC - wholesale,40,12.0,480.0
Rise - Niles,INV-043617,Delivered,6/7/21,BOC - wholesale,92,12.0,1104.0
Rise - Joliet (Colorado Ave),INV-043710,Delivered,6/8/21,BOC - wholesale,140,12.0,1680.0
Rise - Joliet (Rock Creek),INV-043711,Delivered,6/8/21,BOC - wholesale,72,12.0,864.0
Rise - Naperville,INV-043712,Delivered,6/8/21,BOC - wholesale,60,12.0,720.0
Rise - Joliet (Colorado Ave),INV-043787,Delivered,6/8/21,BOC - wholesale,-140,12.0,-1680.0
Rise - Joliet (Rock Creek),INV-043788,Delivered,6/8/21,BOC - wholesale,-72,12.0,-864.0
Rise - Naperville,INV-043789,Delivered,6/8/21,BOC - wholesale,-60,12.0,-720.0
Rise - Canton,INV-043793,Delivered,6/8/21,BOC - wholesale,24,12.0,288.0
Ascend - Fairview,INV-043794,Delivered,6/8/21,BOC - wholesale,28,12.0,336.0
Rise - Niles,INV-043800,Delivered,6/8/21,BOC - wholesale,165,12.0,1980.0
Rise - Lake in the Hills,INV-043820,Delivered,6/9/21,BOC - wholesale,172,12.0,2064.0
Rise - Quincy,INV-043821,Delivered,6/9/21,BOC - wholesale,48,12.0,576.0
Rise - Lake in the Hills,INV-043939,Delivered,6/10/21,BOC - wholesale,172,12.0,2064.0
Rise - Quincy,INV-043940,Delivered,6/10/21,BOC - wholesale,48,12.0,576.0
Rise - Joliet (Colorado Ave),INV-043962,Delivered,6/10/21,BOC - wholesale,140,12.0,1680.0
Rise - Joliet (Rock Creek),INV-043963,Delivered,6/10/21,BOC - wholesale,72,12.0,864.0
Rise - Naperville,INV-043964,Delivered,6/10/21,BOC - wholesale,60,12.0,720.0
Rise - Effingham,INV-043965,Delivered,6/10/21,BOC - wholesale,112,12.0,1344.0
Rise - Quincy,INV-044251,Delivered,6/10/21,BOC - wholesale,-48,12.0,-576.0
Rise - Lake in the Hills,INV-044253,Delivered,6/10/21,BOC - wholesale,-172,12.0,-2064.0
MedMen - Oak Park,INV-046343,Delivered,6/10/21,BOC - wholesale,28,12.0,336.0
Rise - Joliet (Colorado Ave),INV-044026,Delivered,6/11/21,BOC - wholesale,140,12.0,1680.0
Rise - Joliet (Rock Creek),INV-044027,Delivered,6/11/21,BOC - wholesale,72,12.0,864.0
Rise - Joliet (Colorado Ave),INV-044038,Delivered,6/11/21,BOC - wholesale,-140,12.0,-1680.0
Rise - Joliet (Rock Creek),INV-044039,Delivered,6/11/21,BOC - wholesale,-72,12.0,-864.0
MOCA - River North,INV-044070,Delivered,6/11/21,BOC - wholesale,60,12.0,720.0
MOCA - Logan Square,INV-044071,Delivered,6/11/21,BOC - wholesale,72,12.0,864.0
Midway - Chicago Archer,INV-044072,Delivered,6/11/21,BOC - wholesale,48,12.0,576.0
Midway - Chicago Ridge,INV-044073,Delivered,6/11/21,BOC - wholesale,48,12.0,576.0
The Herbal Care Center,INV-044074,Delivered,6/11/21,BOC - wholesale,32,12.0,384.0
MOCA - Logan Square,INV-044131,Delivered,6/11/21,BOC - wholesale,-16,12.0,-192.0
Curaleaf - Northbrook,INV-044171,Delivered,6/14/21,BOC - wholesale,74,12.0,888.0
Dispensary 33 - W Randolph,INV-044172,Delivered,6/14/21,BOC - wholesale,32,12.0,384.0
Dispensary 33 - N Clark,INV-044173,Delivered,6/14/21,BOC - wholesale,12,12.0,144.0
Dispensary 33 - N Clark,INV-044174,Delivered,6/14/21,BOC - wholesale,12,12.0,144.0
Nature's Care - West Loop,INV-044175,Delivered,6/14/21,BOC - wholesale,12,12.0,144.0
Ascend - Fairview,INV-044333,Delivered,6/15/21,BOC - wholesale,44,12.0,528.0
Rise - Lake in the Hills,INV-044336,Delivered,6/15/21,BOC - wholesale,100,12.0,1200.0
Rise - Niles,INV-044337,Delivered,6/15/21,BOC - wholesale,180,12.0,2160.0
Rise - Naperville,INV-044423,Delivered,6/15/21,BOC - wholesale,-36,12.0,-432.0
Nature's Care - West Loop,INV-044408,Delivered,6/16/21,BOC - wholesale,12,12.0,144.0
Curaleaf - Worth,INV-044409,Delivered,6/16/21,BOC - wholesale,60,12.0,720.0
Curaleaf - Mokena,INV-044410,Delivered,6/16/21,BOC - wholesale,40,12.0,480.0
Curaleaf - Westmont,INV-044411,Delivered,6/16/21,BOC - wholesale,28,12.0,336.0
Enlightened - Schaumburg,INV-044413,Delivered,6/16/21,BOC - wholesale,40,12.0,480.0
Midway - Chicago Archer,INV-044415,Delivered,6/16/21,BOC - wholesale,80,12.0,960.0
MOCA - River North,INV-044416,Delivered,6/16/21,BOC - wholesale,80,12.0,960.0
MOCA - Logan Square,INV-044417,Delivered,6/16/21,BOC - wholesale,160,12.0,1920.0
Rise - Joliet (Colorado Ave),INV-044418,Delivered,6/16/21,BOC - wholesale,96,12.0,1152.0
Rise - Naperville,INV-044419,Delivered,6/16/21,BOC - wholesale,36,12.0,432.0
Rise - Naperville,INV-044420,Delivered,6/16/21,BOC - wholesale,36,12.0,432.0
Sunnyside - Lakeview,INV-044422,Delivered,6/16/21,BOC - wholesale,24,12.0,288.0
Windy City - Carpentersville,INV-044526,Delivered,6/17/21,BOC - wholesale,72,12.0,864.0
Windy City - Posen,INV-044527,Delivered,6/17/21,BOC - wholesale,64,12.0,768.0
Windy City - Homewood,INV-044528,Delivered,6/17/21,BOC - wholesale,64,12.0,768.0
Consume - Carbondale,INV-044529,Delivered,6/17/21,BOC - wholesale,40,12.0,480.0
Consume - Marion ,INV-044530,Delivered,6/17/21,BOC - wholesale,32,12.0,384.0
Consume - Marion ,INV-044531,Delivered,6/17/21,BOC - wholesale,20,12.0,240.0
The Herbal Care Center,INV-044532,Delivered,6/17/21,BOC - wholesale,20,12.0,240.0
Consume - Oak Brook Terrace,INV-044535,Delivered,6/17/21,BOC - wholesale,40,12.0,480.0
EarthMed - Addison,INV-044589,Delivered,6/18/21,BOC - wholesale,16,12.0,192.0
Curaleaf - Skokie,INV-044591,Delivered,6/18/21,BOC - wholesale,132,12.0,1584.0
Consume - Chicago,INV-044592,Delivered,6/18/21,BOC - wholesale,20,12.0,240.0
