state,door,account,Delivery,sales_rep
CA,The Apothecarium - Howard Street,Apothecarium,No,Elyse
CA,The Apothecarium - Deep Thought,Apothecarium,No,Elyse
CA,SPARC- Haight Street,SPARC,No,Ryan
CA,The Apothecarium - SF,Apothecarium,No,Elyse
CA,Prussian Sticks LLC,McDoestle,No,Not In Mapping
CA,SPARC Sebastopol,SPARC,No,Ryan
CA,(INACTIVE) Bellflower (Caliva),The Parent Co.,No,TBH
CA,Serra,* Independent Kiva Sales & Service,No,Ryan
CA,Doobie Nights,* Independent Kiva Sales & Service,No,Ryan
CA,Royal Apothecary L.L.C.,* Independent Kiva Sales & Service,No,Ryan
CA,High Tides,* Independent Kiva Sales & Service,No,Ryan
CA,Cookies Merced,Cookies Corp,No,Jen
CA,Desert Organic Solutions,* Independent Kiva Sales & Service,No,Ryan
CA,Cali Distribution Inc,Cali Distro,No,Ryan
CA,HYBRID LA,* Independent Kiva Sales & Service,No,Ryan
CA,Velvet,Velvet,No,TBH
CA,AMC,Kolas,No,Ryan
CA,CC101,Kolas,No,Ryan
CA,Cloud 9,Kolas,No,Ryan
CA,Doctor's Orders,Kolas,No,Ryan
CA,House of Organics,Kolas,No,Ryan
CA,THC,Kolas,No,Ryan
CA,"HERBAL COOPERATIVE, INC.",* Independent Kiva Sales & Service,No,Ryan
CA,HIGHER LEVEL OF CARE HOLLISTER INC.,Higher Level,No,Ryan
CA,Atomic Budz,* Independent Kiva Sales & Service,No,Ryan
CA,Caliva - Distro,The Parent Co.,No,TBH
CA,HiKei,* Independent Kiva Sales & Service,No,Ryan
CA,Holistic Pain Relief (LA Cannabis Co),LA Cannabis Co.,No,Ryan
CA,Eureka Sky,* Independent Kiva Sales & Service,No,Ryan
CA,"NC4 SYSTEMS, INC. (Caliva)",The Parent Co.,No,TBH
CA,Super Clinik,Super Clinik,No,Ryan
CA,Cookies Maywood,* Independent Kiva Sales & Service,No,Jen
CA,The Artist Tree,The Artist Tree,No,Ryan
CA,Circle of Hope-Northridge,* Independent Kiva Sales & Service,No,Ryan
CA,Harvest of Venice,Harvest,No,Ryan
CA,Flower Market Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,"Holdings Of Harvest, CA LLC",Harvest,No,Ryan
CA,PSA Organica,* Independent Kiva Sales & Service,No,Ryan
CA,High Times Oakland - Broadway,High Times Delivery,No,Ryan
CA,Lemonnade - South Sac (Florin),Golden Group,No,Ryan
CA,Mother Nature's Remedy,* Independent Kiva Sales & Service,No,Ryan
CA,COCO FARMS LLC,COCO Farms,No,Ryan
CA,RIO VISTA FARMS LLC,COCO Farms,No,Ryan
CA,The Higher Conscious,* Independent Kiva Sales & Service,No,Ryan
CA,Proper Wellness Inc (Rio Dell),* Independent Kiva Sales & Service,No,Ryan
CA,Connected Transportation Partners Inc,* Independent Kiva Sales & Service,No,TBH
CA,Urbn Leaf - Distro,Urbn Leaf,No,Karlie
CA,MCEC - Medical cannabis education center,* Independent Kiva Sales & Service,No,Ryan
CA,The Plant,* Independent Kiva Sales & Service,No,Ryan
CA,Firehaus,* Independent Kiva Sales & Service,No,Ryan
CA,Winter Greens,* Independent Kiva Sales & Service,No,Ryan
CA,Herb Delivery LA,* Independent Kiva Sales & Service,No,Ryan
CA,Fireplace Management Incorporated,* Independent Kiva Sales & Service,No,Ryan
CA,Ganja Goddess Delivery - Oakland,Ganja Goddess,No,Ryan
CA,Reese Dreams LLC,* Independent Kiva Sales & Service,No,Ryan
CA,TAHOE WELLNESS CENTER,* Independent Kiva Sales & Service,No,Ryan
CA,"Juva RWC, Inc.",Juva,No,Ryan
CA,Purple Lotus Patient Center,* Independent Kiva Sales & Service,No,Ryan
CA,CRAFT,* Independent Kiva Sales & Service,No,Ryan
CA,SAS - Cookies Sac,Golden Group,No,Ryan
CA,Cookies Modesto,Cookies Corp,No,Jen
CA,Luvbrite Collective,* Independent Kiva Sales & Service,No,Ryan
CA,"Satlla, Inc",* Independent Kiva Sales & Service,No,Ryan
CA,Humboldt Herb & Market,* Independent Kiva Sales & Service,No,Ryan
CA,Proper Wellness Inc.,* Independent Kiva Sales & Service,No,Ryan
CA,Taste,* Independent Kiva Sales & Service,No,Ryan
CA,ASHE Society,* Independent Kiva Sales & Service,No,Ryan
CA,Berners on Haight,Cookies Corp,No,Jen
CA,Connected - Sacramento,Connected,No,Ryan
CA,Connected - SF,Connected,No,Ryan
CA,SDRC,SDRC,No,Ryan
CA,VERSAGENIX INC.,* Independent Kiva Sales & Service,No,Ryan
CA,"THE HERBIVORE, INC.",* Independent Kiva Sales & Service,No,Ryan
CA,The Honor Roll (Urban Buds),* Independent Kiva Sales & Service,No,Ryan
CA,The Growcery,* Independent Kiva Sales & Service,No,Ryan
CA,365 Recreational Cannabis,* Independent Kiva Sales & Service,No,Ryan
CA,Wings of Wellness (IE &OC),* Independent Kiva Sales & Service,No,Ryan
CA,Field of Dreams,* Independent Kiva Sales & Service,No,Ryan
CA,Green Cross of Torrance,* Independent Kiva Sales & Service,No,Ryan
CA,Greenlight Discount Pharmacy,* Independent Kiva Sales & Service,No,Ryan
CA,Love In It,* Independent Kiva Sales & Service,No,Ryan
CA,Silverlake Caregivers Group,* Independent Kiva Sales & Service,No,Ryan
CA,The Reefinery - Micro,* Independent Kiva Sales & Service,No,Ryan
CA,Exhalence,* Independent Kiva Sales & Service,No,Ryan
CA,F Street Dispensary,* Independent Kiva Sales & Service,No,Ryan
CA,Goldn Bloom,* Independent Kiva Sales & Service,No,Ryan
CA,Off the Charts - Vista,OTC,No,Ryan
CA,Rooted Cannabis Group - Van Nuys,Rooted Cannabis Group,No,Ryan
CA,"The Grove La Mesa, Inc. - Medicinal",* Independent Kiva Sales & Service,No,Ryan
CA,Elevate - Shasta Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,Los Angeles Kush #1,* Independent Kiva Sales & Service,No,Ryan
CA,Nugg Club,* Independent Kiva Sales & Service,No,Elyse
CA,Sunset Herbal Corner,* Independent Kiva Sales & Service,No,Ryan
CA,Foothill Wellness Center,* Independent Kiva Sales & Service,No,Ryan
CA,Happy Leaf,* Independent Kiva Sales & Service,No,Ryan
CA,HSC Solutions,* Independent Kiva Sales & Service,No,Ryan
CA,The Heart of Humboldt - Micro,* Independent Kiva Sales & Service,No,Ryan
CA,Wheel House,* Independent Kiva Sales & Service,No,Ryan
CA,WHTC,* Independent Kiva Sales & Service,No,Ryan
CA,CCC City Compassionate Caregivers,* Independent Kiva Sales & Service,No,Ryan
CA,Have a Heart - Santa Cruz,Have a Heart,No,Ryan
CA,L.B. Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Natural Cannabis Company Distribution,* Independent Kiva Sales & Service,No,Ryan
CA,High Times - Coalinga,High Times Delivery,No,Ryan
CA,Ascent Mammoth,* Independent Kiva Sales & Service,No,Ryan
CA,The Corner LB,* Independent Kiva Sales & Service,No,Karlie
CA,Ganjarunner - Oakland,Ganjarunner,No,Ryan
CA,Ganjarunner-Sacramento,Ganjarunner,No,Ryan
CA,HerbalCure Corporation,Ganjarunner,No,Ryan
CA,The Lighthouse Palm Springs,* Independent Kiva Sales & Service,No,Karlie
CA,Bay Care Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,Herbarium,* Independent Kiva Sales & Service,No,Ryan
CA,Triple C Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Coachella Valley Green Dragon,* Independent Kiva Sales & Service,No,Ryan
CA,Embarc Tahoe LLC,Embarc,No,Jen
CA,Evolv Cannabis,* Independent Kiva Sales & Service,No,Ryan
CA,Foggy Daze Delivery Service,* Independent Kiva Sales & Service,No,Ryan
CA,Socal Green Meds,SoCal Green Meds,No,Ryan
CA,PORT RETAIL LLC : Leaf and Lion,* Independent Kiva Sales & Service,No,Ryan
CA,Lighthouse Dispensary,* Independent Kiva Sales & Service,No,Ryan
CA,Shangri La Care Cooperative,* Independent Kiva Sales & Service,No,Ryan
CA,The Medicine Woman,* Independent Kiva Sales & Service,No,Ryan
CA,Divine Wellness Center,* Independent Kiva Sales & Service,No,Ryan
CA,The Westwood Farmacy,* Independent Kiva Sales & Service,No,Ryan
CA,Coastal Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,Cookies La Mesa,Cookies Corp,No,Jen
CA,Stash Studio City,* Independent Kiva Sales & Service,No,Ryan
CA,King's Crew,* Independent Kiva Sales & Service,No,Ryan
CA,515 Broadway,* Independent Kiva Sales & Service,No,Ryan
CA,Green Remedy,* Independent Kiva Sales & Service,No,Ryan
CA,Harborside San Jose,Harborside,No,Karlie
CA,MMD of Long Beach,MMD,No,Ryan
CA,Sweet Flower Westwood,Sweet Flower,No,Karlie
CA,Canopy Club,* Independent Kiva Sales & Service,No,Ryan
CA,Harborside San Leandro (San Leandro Wellness),Harborside,No,Karlie
CA,Herban Legend,* Independent Kiva Sales & Service,No,Ryan
CA,"KDM Holdings, LLC",Stiiizy,No,Jen
CA,CALMA WEHO,* Independent Kiva Sales & Service,No,Ryan
CA,Eco Cannabis,* Independent Kiva Sales & Service,No,Ryan
CA,Harborside DHS,Harborside,No,Karlie
CA,Firehouse 64,* Independent Kiva Sales & Service,No,Ryan
CA,The Humboldt County Collective,* Independent Kiva Sales & Service,No,Ryan
CA,NRC Holistic Health Services Clinic,* Independent Kiva Sales & Service,No,Ryan
CA,The Joint,Speedy Weedy,No,Ryan
CA,Green Chamber,* Independent Kiva Sales & Service,No,Ryan
CA,One Plant - Salinas,CHAi / One Plant,No,Ryan
CA,Blue Zen Ventures Management,* Independent Kiva Sales & Service,No,Ryan
CA,"Flor X, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,Garden of Eden,* Independent Kiva Sales & Service,No,Ryan
CA,iLyfted Studio City,* Independent Kiva Sales & Service,No,Ryan
CA,"Jayden's Journey Cooperative, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,Three Habitat Consulting Atwater LLC,CHAi,No,Ryan
CA,Making You Smile,* Independent Kiva Sales & Service,No,Ryan
CA,"Sonoma Patient Group, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,reLeaf,Coastal,No,TBH
CA,Fountain Of Wellbeing A Cooperative Corporation (K,* Independent Kiva Sales & Service,No,Ryan
CA,The People's Remedy - Distro,* Independent Kiva Sales & Service,No,Ryan
CA,Curbstone Exchange,* Independent Kiva Sales & Service,No,Ryan
CA,Firefly Marin,* Independent Kiva Sales & Service,No,Ryan
CA,iLyfted - NoHo,* Independent Kiva Sales & Service,No,Ryan
CA,Therapeutic Healthcare Collective,* Independent Kiva Sales & Service,No,Ryan
CA,A Therapeutic Alternative,* Independent Kiva Sales & Service,No,Ryan
CA,Date Palm (The Vault),* Independent Kiva Sales & Service,No,Ryan
CA,"Jaguar Logistics Group, LLC",* Independent Kiva Sales & Service,No,Ryan
CA,Metro Cannabis Collective,* Independent Kiva Sales & Service,No,Ryan
CA,REEFER MADNESS,* Independent Kiva Sales & Service,No,Ryan
CA,Green Angel_2,* Independent Kiva Sales & Service,No,Ryan
CA,Megan's Organic Market,* Independent Kiva Sales & Service,No,Ryan
CA,Medallion Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,The Apothecarium - Berkeley,Apothecarium,No,Elyse
CA,Royal Highness,* Independent Kiva Sales & Service,No,Ryan
CA,West Coast Cannabis Club,West Coast Cannabis Club,No,Ryan
CA,Santa Cruz Naturals Royal Oaks,Santa Cruz Naturals,No,Ryan
CA,Green Cross Pharma,* Independent Kiva Sales & Service,No,Ryan
CA,Joy of Wellness of Palm Springs,* Independent Kiva Sales & Service,No,Ryan
CA,Tropicanna,* Independent Kiva Sales & Service,No,Ryan
CA,Community Gardens - EAP,* Independent Kiva Sales & Service,No,Ryan
CA,OutCo El Cajon,OutCo,No,Ryan
CA,ShowGrow - Long Beach,ShowGrow,No,Ryan
CA,Calaveras Little Trees,* Independent Kiva Sales & Service,No,Ryan
CA,Connected - Stockton,Connected,No,Ryan
CA,Green Pearl,* Independent Kiva Sales & Service,No,Ryan
CA,The Coughy Shop,* Independent Kiva Sales & Service,No,Ryan
CA,Depot - The Green Goddess Inc.,Eaze,Yes,Elyse
CA,"Depot - ULBP, Inc (Primo Distrobution)",Eaze,Yes,Elyse
CA,"Depot - Westside Caregivers Club, Inc.",Eaze,Yes,Elyse
CA,THC SD,Columbia Care,No,Karlie
CA,Dank Depot,* Independent Kiva Sales & Service,No,Ryan
CA,"Depot - BW Macaw Group, Inc",Eaze,Yes,Elyse
CA,Depot - Hometown Heart - East Bay,Eaze,Yes,Elyse
CA,Depot - Hometown Heart - SF,Eaze,Yes,Elyse
CA,Harbor Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Apothecary,* Independent Kiva Sales & Service,No,Ryan
CA,Depot - Holistic Healing Alternative,Eaze,Yes,Elyse
CA,Depot - The Natural Way of LA - Telos,Eaze,Yes,Elyse
CA,Catalyst Bellflower,Catalyst,No,Karlie
CA,Catalyst Belmont Shore,Catalyst,No,Karlie
CA,Catalyst Cherry,Catalyst,No,Karlie
CA,Catalyst Eastside,Catalyst,No,Karlie
CA,Catalyst Santa Ana,Catalyst,No,Karlie
